Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,master_Bioguide_id,master_bioguide_id,master_firstname,master_lastname,master_state,master_district,,
23 East Front Street,Monroe,MI,48161,2256,MI,7,Tim Walberg,W000798,W000798,Tim,Walberg,MI,7,,USPS Lookup
1134 7th Street Northwest,Rochester,MN,55901,1732,MN,1,Timothy Walz,W000799,W000799,Timothy,Walz,MN,1,,USPS Lookup
32 Main Street,Burlington,VT,03561,4072,VT,0,Peter Welch,W000800,W000800,Peter,Welch,VT,0,,USPS Lookup
4904 George Washington Memorial Highway,Yorktown,VA,23692,2769,VA,1,Robert Wittman,W000804,W000804,Robert,Wittman,VA,1,,USPS Lookup
300 West Plant Street,Winter Garden,FL,34787,3009,FL,10,Daniel Webster,W000806,W000806,Daniel,Webster,FL,10,,USPS Lookup
10100 Pines Boulevard,Pembroke Pines,FL,33026,6040,FL,24,Frederica Wilson,W000808,W000808,Frederica,Wilson,FL,24,,USPS Lookup
3333 South Pinnacle Hills Parkway,Rogers,AR,72758,8979,AR,3,Steve Womack,W000809,W000809,Steve,Womack,AR,3,,USPS Lookup
75 Langley Drive,Lawrenceville,GA,30046,6935,GA,7,Rob Woodall,W000810,W000810,Rob,Woodall,GA,7,,USPS Lookup
8764 Manchester Road,Brentwood,MO,63144,2735,MO,2,Ann Wagner,W000812,W000812,Ann,Wagner,MO,2,,USPS Lookup
207 East Colfax Avenue,South Bend,IN,46601,1606,IN,2,Jackie Walorski,W000813,W000813,Jackie,Walorski,IN,2,,USPS Lookup
122 West Way Street,Lake Jackson,TX,77566,5245,TX,14,Randy Weber,W000814,W000814,Randy,Weber,TX,14,,USPS Lookup
602 Chillicothe Street,Portsmouth,OH,45662,4262,OH,2,Brad Wenstrup,W000815,W000815,Brad,Wenstrup,OH,2,,USPS Lookup
115 South Main Street,Cleburne,TX,76033,5501,TX,25,Roger Williams,W000816,W000816,Roger,Williams,TX,25,,USPS Lookup
540 Water Street,Ketchikan,AK,99901,6378,AK,0,Don Young,Y000033,Y000033,Don,Young,AK,0,,USPS Lookup
7219 Dixie Highway,Louisville,KY,40258,3756,KY,3,John Yarmuth,Y000062,Y000062,John,Yarmuth,KY,3,,USPS Lookup
500 State Avenue,Kansas City,KS,66101,2409,KS,3,Kevin Yoder,Y000063,Y000063,Kevin,Yoder,KS,3,,USPS Lookup
Quartermaster Court,Jeffersonville,IN,47130,3669,IN,9,Todd Young,Y000064,Y000064,Todd,Young,IN,9,,USPS Lookup
1726 Kingsley Avenue,Orange Park,FL,32073,4411,FL,3,Ted Yoho,Y000065,Y000065,Ted,Yoho,FL,3,,USPS Lookup
