1907 South Broad Street,Philadelphia,PA,19148,2116,PA,1,Robert Brady,B001227
411 North Central Avenue,Phoenix,AZ,85004,2120,AZ,7,Ed Pastor,P000099
2400 East Arizona Biltmore Circle,Phoenix,AZ,85016,2195,AZ,9,Kyrsten Sinema,S001191
100 East 8th Avenue,Pine Bluff,AR,71601,5070,AR,4,Tom Cotton,C001095
1001 North Broadway Street,Pittsburg,KS,66762,3905,KS,2,Lynn Jenkins,J000290
225 West 5th Street,Chillicothe,OH,15219,2024,OH,2,Brad Wenstrup,W000815
504 Washington Road,Pittsburgh,PA,15228,2817,PA,18,Tim Murphy,M001151
78 Center Street,Ellenville,NY,1201,6172,NY,19,Christopher Gibson,G000564
1 Grove Street,Pittsford,NY,14534,1328,NY,25,Louise Slaughter,S000480
2680 West Main Street,Pittsboro,IN,46167,2829,IN,4,Todd Rokita,R000592
110 West Reynolds Street,Plant City,FL,33563,3377,FL,15,Dennis Ross,R000593
14 Durkee Street,Plattsburgh,NY,12901,2998,NY,21,William Owens,O000169
5776 Stoneridge Mall Road,Pleasanton,CA,94588,2836,CA,15,Eric Swalwell,S001193
275 South 5th Avenue,Pocatello,ID,83201,3392,ID,2,Michael Simpson,S001148
332 East 5th Street,Port Angeles,WA,98362,3207,WA,6,Derek Kilmer,K000381
2675 North Ventura Road,Port Hueneme,CA,93041,2045,CA,26,Julia Brownley,B001285
1000 City Center Circle,Port Orange,FL,32129,4144,FL,6,Ron DeSantis,D000621
2 Portland Fish Pier,Portland,ME,4101,4633,ME,1,Chellie Pingree,P000597
620 Southwest Main Street,Portland,OR,97205,3024,OR,3,Earl Blumenauer,B000574
729 Northeast Oregon Street,Portland,OR,97232,2184,OR,3,Earl Blumenauer,B000574
602 Chillicothe Street,Portsmouth,OH,45662,4262,OH,2,Brad Wenstrup,W000815
101 North Centre Street,Pottsville,PA,17901,2972,PA,17,Matthew Cartwright,C001090
,Poulsbo,WA,98370,8481,WA,6,Derek Kilmer,K000381
221 West Main Street,Prescott,AR,71857,3608,AR,4,Tom Cotton,C001095
240 South Montezuma Street,Prescott,AZ,86303,4712,AZ,4,Paul Gosar,G000565
445 Main Street,Buffalo,NY,4769,2651,NY,26,Brian Higgins,H001038
110 Resource Avenue,Farmington,NM,41653,7851,NM,3,Ben Luján,L000570
120 East Main Street,Price,UT,84501,3050,UT,3,Jason Chaffetz,C001076
51 South University Avenue,Provo,UT,84601,4491,UT,3,Jason Chaffetz,C001076
503 North Main Street,Pueblo,CO,81003,3132,CO,3,Scott Tipton,T000470
226 Taylor Street,Punta Gorda,FL,33950,4459,FL,17,Thomas Rooney,R000583
1250 Hancock Street,Quincy,MA,2169,4331,MA,8,Stephen Lynch,L000562
216 6th Street,Racine,WI,53403,1216,WI,1,Paul Ryan,R000570
411 West Lincoln Trail Boulevard,Radcliff,KY,40160,2046,KY,2,Brett Guthrie,G000558
1300 Saint Marys Street,Raleigh,NC,27605,1276,NC,13,George Holding,H001065
5400 Trinity Road,Raleigh,NC,27607,3815,NC,4,David Price,P000523
343 Quincy Street,Rapid City,SD,57701,3797,SD,0,Kristi Noem,N000184
2603 Wheat Drive,Bozeman,MT,56750,4800,MT,0,Steve Daines,D000618
280 Hemsted Drive,Redding,CA,96002,164,CA,1,Doug LaMalfa,L000578
1150 Brookside Avenue,Redlands,CA,92373,6314,CA,31,Gary Miller,M001139
,Redwood Falls,MN,56283,50,MN,7,Collin Peterson,P000258
400 South Virginia Street,Reno,NV,89501,2116,NV,2,Mark Amodei,A000369
2929 North Central Expressway,Richardson,TX,75080,2000,TX,3,Sam Johnson,J000174
3220 Blume Drive,Richmond,CA,94806,5741,CA,11,George Miller,M000725
50 West 2nd Avenue,Columbus,OH,47374,4247,OH,15,Steve Stivers,S001187
400 North 8th Street,Richmond,VA,23219,1321,VA,3,Robert Scott,S000185
F-M 3167,Rio Grande City,TX,78582,6688,TX,28,Henry Cuellar,C001063
3200 Civic Center Circle Northeast,Rio Rancho,NM,87144,4503,NM,3,Ben Luján,L000570
3400 Central Avenue,Riverside,CA,92506,2163,CA,41,Mark Takano,T000472
10 Franklin Road Southeast,Roanoke,VA,24011,2121,VA,6,Bob Goodlatte,G000289
1134 7th Street Northwest,Rochester,MN,55901,1732,MN,1,Timothy Walz,W000799
100 State Street,Rochester,NY,14614,1309,NY,25,Louise Slaughter,S000480
1280 Titus Avenue,Rochester,NY,14617,4125,NY,25,Louise Slaughter,S000480
1456 Ebenezer Road,Rock Hill,SC,29732,2339,SC,5,Mick Mulvaney,M001182
404 N Street,Rock Springs,WY,82901,5474,WY,0,Cynthia Lummis,L000571
90-16 Rockaway Beach Boulevard,Queens,NY,11693,1530,NY,5,Gregory Meeks,M001137
415 South Mulford Road,Rockford,IL,61108,3011,IL,16,Adam Kinzinger,K000378
230 East Franklin Street,Rockingham,NC,28379,3627,NC,8,Richard Hudson,H001067
51 Monroe Street,Rockville,MD,20850,2406,MD,8,Chris Van Hollen,V000128
104 North San Jacinto Street,Rockwall,TX,75087,2508,TX,4,Ralph Hall,H000067
3333 South Pinnacle Hills Parkway,Rogers,AR,72758,8979,AR,3,Steve Womack,W000809
1301 Kings Highway,Keysville,VA,65401,3136,VA,5,Robert Hurt,H001060
600 East 1st Street,Rome,GA,30161,3149,GA,14,Tom Graves,G000560
,Roseburg,OR,97470,511,OR,4,Peter DeFazio,D000191
27085 Gratiot Avenue,Roseville,MI,48066,2947,MI,9,Sander Levin,L000263
1717 West 2nd Street,Roswell,NM,88201,2029,NM,2,Stevan Pearce,P000588
error: no response from geocoder,,,,,,,,
1717 North Interstate Highway 35,Round Rock,TX,78664,2901,TX,31,John Carter,C001051
1234 Columbus Avenue,Boston,MA,2120,3400,MA,7,Michael Capuano,C001037
600 I Street,Sacramento,CA,95814,4778,CA,6,Doris Matsui,M001163
515 North Washington Avenue,Saginaw Charter Township,MI,48607,1378,MI,5,Daniel Kildee,K000380
,Capitol Hill,Saipan,96950,4310,MP,0,Gregorio Sablan,S001177
494 State Street,Salem,OR,97301,3830,OR,5,Kurt Schrader,S001180
119 West Iron Avenue,Salina,KS,67402,,KS,1,Tim Huelskamp,H001057
100 West Alisal Street,Salinas,CA,93901,2687,CA,20,Sam Farr,F000030
212 West Main Street,Salisbury,MD,21801,5026,MD,1,Andy Harris,H001052
240 East Morris Avenue,Salt Lake City,UT,84115,3296,UT,4,Jim Matheson,M001142
125 South State Street,Salt Lake City,UT,84138,1102,UT,2,Chris Stewart,S001192
33 East Twohig Avenue,San Angelo,TX,76903,6451,TX,11,K. Conaway,C001062
615 East Houston Street,San Antonio,TX,78205,2054,TX,35,Lloyd Doggett,D000399
727 East Durango Boulevard,San Antonio,TX,78206,1286,TX,35,Lloyd Doggett,D000399
1100 Northeast Interstate 410 Loop,San Antonio,TX,78209,1530,TX,21,Lamar Smith,S000583
1313 Southeast Military Drive,San Antonio,TX,78214,2850,TX,35,Lloyd Doggett,D000399
6363 De Zavala Road,San Antonio,TX,78249,2104,TX,20,Joaquin Castro,C001091
201 North East Street,Roseboro,NC,92401,1520,NC,7,Mike McIntyre,M000485
2700 Adams Avenue,San Diego,CA,92116,1367,CA,53,Susan Davis,D000598
510 East Foothill Boulevard,San Dimas,CA,91773,1254,CA,32,Grace Napolitano,N000179
90 7th Street,San Francisco,CA,94103,6723,CA,12,Nancy Pelosi,P000197
635 North 1st Street,San Jose,CA,95112,5110,CA,19,Zoe Lofgren,L000397
901 De La Tierra,Tijuana,BC,901,2102,not found,not found,,
1411 Marsh Street,San Luis Obispo,CA,93401,2923,CA,24,Lois Capps,C001036
400 South El Camino Real,San Mateo,CA,94402,1761,CA,14,Jackie Speier,S001175
1050 Northgate Drive,San Rafael,CA,94903,2580,CA,2,Jared Huffman,H001068
,Sandersville,GA,31082,,GA,10,Paul Broun,B001262
301 East Carrillo Street,Santa Barbara,CA,93101,2611,CA,24,Lois Capps,C001036
26650 The Old Road,Valencia,CA,91381,750,CA,25,Howard McKeon,M000508
701 Ocean Street,Santa Cruz,CA,95060,4027,CA,20,Sam Farr,F000030
11627 Telegraph Road,Whittier,CA,90670,6810,CA,38,Linda Sánchez,S001156
811 Saint Michaels Drive,Santa Fe,NM,87505,7640,NM,3,Ben Luján,L000570
1101 College Avenue,Santa Rosa,CA,95404,3940,CA,5,Mike Thompson,T000460
176 Brooks Boulevard,Santee,SC,29142,8644,SC,6,James Clyburn,C000537
235 North Orange Avenue,Sarasota,FL,34236,8522,FL,16,Vern Buchanan,B001260
513 Broadway,Saratoga Springs,NY,12866,6730,NY,20,Paul Tonko,T000469
450 Mall Boulevard,Savannah,GA,31406,4864,GA,1,Jack Kingston,K000220
1 Diamond Causeway,Savannah,GA,31406,7434,GA,1,Jack Kingston,K000220
105 Jay Street,Schenectady,NY,12305,1905,NY,20,Paul Tonko,T000469
416 Valley View Drive,Scottsbluff,NE,69361,1445,NE,3,Adrian Smith,S001172
10603 North Hayden Road,Scottsdale,AZ,85260,5571,AZ,6,David Schweikert,S001183
1809 7th Avenue,Seattle,WA,98101,1399,WA,7,Jim McDermott,M000404
415 South Ohio Avenue,Sedalia,MO,65301,,MO,4,Vicky Hartzler,H001053
100 South Austin Street,Seguin,TX,78155,5702,TX,15,Rubén Hinojosa,H000636
908 Alabama Avenue,Selma,AL,36701,4660,AL,7,Terri Sewell,S001185
9210 113th Street,Seminole,FL,33772,2800,FL,13,David Jolly,J000296
48701 Van Dyke Avenue,Shelby Township,MI,48317,2560,MI,10,Candice Miller,M001150
311 East Marion Street,Shelby,NC,28151,4611,NC,10,Patrick McHenry,M001156
45 East Loucks Street,Sheridan,WY,82801,6331,WY,0,Cynthia Lummis,L000571
5000 Van Nuys Boulevard,Los Angeles,CA,91403,1791,CA,30,Brad Sherman,S000344
101 East Pecan Street,Sherman,TX,75090,5989,TX,4,Ralph Hall,H000067
18560 1st Avenue Northeast,Shoreline,WA,98155,2150,WA,7,Jim McDermott,M000404
6425 Youree Drive,Shreveport,LA,71105,4634,LA,4,John Fleming,F000456
77 Calle Portal,Sierra Vista,AZ,85635,2981,AZ,2,Ron Barber,B001279
8730 Georgia Avenue,Silver Spring,MD,20910,3651,MD,8,Chris Van Hollen,V000128
526 Nebraska Street,Sioux City,IA,51101,1313,IA,4,Steve King,K000362
2310 West 41st Street,Sioux Falls,SD,57105,6118,SD,0,Kristi Noem,N000184
888 Concord Road Southeast,Smyrna,GA,30080,4202,GA,13,David Scott,S001157
380 Stevens Avenue,Solana Beach,CA,92075,2069,CA,49,Darrell Issa,I000056
485 Alisal Road,Solvang,CA,93463,3701,CA,24,Lois Capps,C001036
Clifty Street,Somerset,KY,42501,1782,KY,5,Harold Rogers,R000395
118 West Main Street,Somerset,PA,15501,2047,PA,12,Keith Rothfus,R000598
201 North Bingham Avenue,Somerton,AZ,85350,,AZ,3,Raúl Grijalva,G000551
207 East Colfax Avenue,South Bend,IN,46601,1606,IN,2,Jackie Walorski,W000813
137 Hampton Road,Southampton,NY,11968,4923,NY,1,Timothy Bishop,B001242
101 West Saint John Street,Spartanburg,SC,29306,5167,SC,4,Trey Gowdy,G000566
,Spencer,IA,51301,,IA,4,Steve King,K000362
10 North Post Street,Spokane,WA,99201,712,WA,5,Cathy McMorris Rodgers,M001159
235 South 6th Street,Springfield,IL,62701,1502,IL,13,Rodney Davis,D000619
3130 Chatham Road,Springfield,IL,62704,5379,IL,18,Aaron Schock,S001179
300 State Street,New Haven,CT,1105,1711,CT,3,Rosa DeLauro,D000216
3232 East Ridgeview Street,Springfield,MO,65804,4076,MO,7,Billy Long,L000576
5 West North Street,Springfield,OH,45504,2544,OH,8,John Boehner,B000589
940 West Sproul Road,Springfield,PA,19064,1255,PA,7,Patrick Meehan,M001181
167 Locust Street,Spruce Pine,NC,28777,2711,NC,11,Mark Meadows,M001187
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,6,Ron DeSantis,D000621
,St. Charles,MO,63302,,MO,3,Blaine Luetkemeyer,L000569
error: no response from geocoder,,,,,,,,
321 North Mall Drive,St. George,UT,84790,7305,UT,2,Chris Stewart,S001192
800 Ship Street,St. Joseph,MI,49085,2182,MI,6,Fred Upton,U000031
201 South 8th Street,St. Joseph,MO,64501,2275,MO,6,Sam Graves,G000546
625 North Euclid Avenue,St. Louis,MO,63108,1673,MO,1,Wm. Clay,C001049
8021 West Florissant Avenue,Jennings,MO,63136,1449,MO,1,Wm. Clay,C001049
8764 Manchester Road,Brentwood,MO,63144,2735,MO,2,Ann Wagner,W000812
165 Western Avenue North,Saint Paul,MN,55102,4613,MN,4,Betty McCollum,M001143
360 Central Avenue,St. Petersburg,FL,33701,3838,FL,14,Kathy Castor,C001066
207 Maxwell Avenue,Anderson,SC,802,5820,SC,3,Jeff Duncan,D000615
888 Road 10 Northwest,Quincy,WA,6901,2902,WA,4,Doc Hastings,H000329
1 Research Boulevard,Starkville,MS,39759,8749,MS,3,Gregg Harper,H001045
7 Court Square,Staunton,VA,24401,4281,VA,6,Bob Goodlatte,G000289
109 South 3rd Street,Sterling,CO,80751,4220,CO,4,Cory Gardner,G000562
265 New Dorp Lane,Staten Island,NY,10306,3005,NY,11,Michael Grimm,G000569
2222 West 12th Avenue,Stillwater,OK,74074,,OK,3,Frank Lucas,L000491
137 East Weber Avenue,Stockton,CA,95202,2704,CA,9,Jerry McNerney,M001166
2222 Grand Canal Boulevard,Stockton,CA,95207,6671,CA,9,Jerry McNerney,M001166
800 Oneida Street,Storm Lake,IA,50588,3209,IA,4,Steve King,K000362
171 Southwest Flagler Avenue,Stuart,FL,34994,2139,FL,18,Patrick Murphy,M001191
1650 Highway 6,Sugar Land,TX,77478,4921,TX,22,Pete Olson,O000168
5001 Silver Hill Road,Suitland-Silver Hill,MD,20746,5208,MD,4,Donna Edwards,E000290
320 Church Street,Sulphur Springs,TX,75482,2606,TX,4,Ralph Hall,H000067
160 Arch Street,Sunbury,PA,17801,2145,PA,11,Lou Barletta,B001269
9293 Harding Avenue,Surfside,FL,33154,3009,FL,23,Debbie Wasserman Schultz,W000797
125 Bonnie Lane,Sylva,NC,28779,8552,NC,11,Mark Meadows,M001187
100 South Clinton Street,Syracuse,NY,13261,6100,NY,24,Daniel Maffei,M001171
2209 Pacific Avenue,Tacoma,WA,98402,3005,WA,6,Derek Kilmer,K000381
1019 Pacific Avenue,Tacoma,WA,98402,4486,WA,6,Derek Kilmer,K000381
3116 Capital Circle Northeast,Tallahassee,FL,32308,7791,FL,2,Steve Southerland,S001186
4144 North Armenia Avenue,Tampa,FL,33607,6435,FL,14,Kathy Castor,C001066
508 Church Lane,Tappahannock,VA,22560,,VA,1,Robert Wittman,W000804
29 Broadway,Buffalo,NY,2780,3208,NY,26,Brian Higgins,H001038
4918 Kutztown Road,Temple,PA,19560,1554,PA,6,Jim Gerlach,G000549
6544 South General Bruce Drive,Temple,TX,76502,5811,TX,31,John Carter,C001051
901 Wabash Avenue,Terre Haute,IN,47807,3232,IN,8,Larry Bucshon,B001275
4303 Texas Boulevard,Texarkana,TX,75503,3094,TX,4,Ralph Hall,H000067
137 East Jackson Street,Thomasville,GA,31729,5136,GA,8,Austin Scott,S001189
1200 East 78th Avenue,Denver,CO,80229,5930,CO,7,Ed Perlmutter,P000593
127 North Central Avenue,Tifton,GA,31794,4087,GA,8,Austin Scott,S001189
375 West Padonia Road,Lutherville-Timonium,MD,21093,2130,MD,2,C. Ruppersberger,R000576
error: no response from geocoder,,,,,,,,
127 West Spring Street,Titusville,PA,16354,1727,PA,5,Glenn Thompson,T000467
194 Remsdale Street,Toccoa,GA,30577,1899,GA,9,Doug Collins,C001093
1 6 A Street,Dubai,Dubai,43604,,not found,not found,,
990 Village Square Drive,Tomball,TX,77375,4269,TX,10,Michael McCaul,M001157
200 North Main Street,Tompkinsville,KY,42167,1548,KY,1,Ed Whitfield,W000413
3550 Southwest 5th Street,Topeka,KS,66606,1998,KS,2,Lynn Jenkins,J000290
600 Baltimore Avenue,Towson,MD,21204,4022,MD,3,John Sarbanes,S001168
580 West Main Street,Collegeville,PA,19426,1940,PA,6,Jim Gerlach,G000549
121 East Front Street,Traverse City,MI,49684,2500,MI,1,Dan Benishek,B001271
2615 West Jefferson,Trenton,MI,48183,2802,MI,12,John Dingell,D000355
560 Kirts Boulevard,Troy,MI,48084,4141,MI,11,Kerry Bentivolio,B001280
12 South Plum Street,Troy,OH,45373,5207,OH,8,John Boehner,B000589
3469 Lawrenceville Highway,Tucker,GA,30084,5866,GA,4,Henry Johnson,J000288
738 North 5th Avenue,Tucson,AZ,85705,8485,AZ,3,Raúl Grijalva,G000551
1661 North Swan Road,Tucson,AZ,85712,4051,AZ,2,Ron Barber,B001279
404 Route 66 Road,DeQuincy,LA,88401,3279,LA,3,Charles Boustany,B001255
5727 South Lewis Avenue,Tulsa,OK,74105,7146,OK,1,Jim Bridenstine,B001283
181 East Tioga Street,Tunkhannock,PA,18657,6604,PA,11,Lou Barletta,B001269
337 East Main Street,Tupelo,MS,38804,4025,MS,1,Alan Nunnelee,N000186
1118 Greensboro Avenue,Tuscaloosa,AL,35401,2861,AL,7,Terri Sewell,S001185
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,4,Robert Aderholt,A000055
1341 Fillmore Street,Twin Falls,ID,83301,3392,ID,2,Michael Simpson,S001148
10075 Ravenna Road,Twinsburg,OH,44087,1718,OH,14,David Joyce,J000295
1121 East Southeast Loop 323,Tyler,TX,75701,9660,TX,1,Louie Gohmert,G000552
20 North Gallatin Avenue,Uniontown,PA,15401,3545,PA,9,Bill Shuster,S001154
,Unionville,PA,19375,837,PA,16,Joseph Pitts,P000373
258 1st Street,Fenton,MI,13502,4636,MI,5,Daniel Kildee,K000380
,Valdosta,GA,31603,5264,GA,8,Austin Scott,S001189
375 G Street,Vallejo,CA,94592,5706,CA,5,Mike Thompson,T000460
14546 Hamlin Street,Los Angeles,CA,91411,4102,CA,29,Tony Cárdenas,C001097
750 Anderson Street,Vancouver,WA,98661,3853,WA,3,Jaime Herrera Beutler,H001056
1501 East Mockingbird Lane,Victoria,TX,77904,2194,TX,27,Blake Farenthold,F000460
107 Old Airport Road,Douglassville,PA,30474,8840,PA,7,Patrick Meehan,M001181
4772 Euclid Road,Virginia Beach,VA,23462,3800,VA,2,E. Rigell,R000589
113 North Church Street,Visalia,CA,93291,6300,CA,22,Devin Nunes,N000181
1800 Thibodo Road,Vista,CA,92081,7515,CA,49,Darrell Issa,I000056
600 Austin Avenue,Waco,TX,76710,2018,TX,17,Bill Flores,F000461
110 2nd Street South,Waite Park,MN,56387,1313,MN,6,Michele Bachmann,B001256
401 Post Office Road,Waldorf,MD,20602,2738,MD,5,Steny Hoyer,H000874
29 South Palouse Street,Walla Walla,WA,99362,1925,WA,5,Cathy McMorris Rodgers,M001159
1981 North Broadway,Walnut Creek,CA,94596,3877,CA,11,George Miller,M000725
230 Margie Drive,Warner Robins,GA,31088,7813,GA,8,Austin Scott,S001189
197 West Market Street,Warren,OH,44481,1024,OH,13,Tim Ryan,R000577
4834 Richmond Road,Warrensville Heights,OH,44128,6408,OH,11,Marcia Fudge,F000455
300 Centerville Road,Newville,PA,2886,212,PA,11,Lou Barletta,B001269
516 Jefferson Street,Washington,MO,63090,2706,MO,3,Blaine Luetkemeyer,L000569
49 Leavenworth Street,San Francisco,CA,6702,2115,CA,12,Nancy Pelosi,P000197
501 Sycamore Street,Waterloo,IA,50703,4051,IA,1,Bruce Braley,B001259
120 Washington Street,Watertown,NY,13601,3370,NY,21,William Owens,O000169
505 12th Street Southeast,Watertown,SD,57201,4973,SD,0,Kristi Noem,N000184
16 Common Street,Watertown,MA,4901,6611,MA,5,Katherine Clark,C001101
208 Grand Avenue,Wausau,WI,54403,6217,WI,7,Sean Duffy,D000614
,Weldon,NC,27890,,NC,1,George Butterfield,B001251
7969 Cincinnati Dayton Road,West Chester Township,OH,45069,6637,OH,8,John Boehner,B000589
,West Columbia,SC,29171,2381,SC,2,Joe Wilson,W000795
201 East Nolen Street,West Frankfort,IL,62896,2437,IL,12,William Enyart,E000292
509 U.S. 82,Greenwood,MS,38930,5030,MS,2,Bennie Thompson,T000193
7800 Route 201,Magna,UT,84088,4314,UT,2,Chris Stewart,S001192
5500 Palisades Avenue,Battlefield,MO,7093,2124,MO,7,Billy Long,L000576
261 West Nyack Road,West Nyack,NY,10994,1724,NY,17,Nita Lowey,L000480
3111 South Dixie Highway,West Palm Beach,FL,33405,1553,FL,22,Lois Frankel,F000462
1755 Tiffany Drive East,West Palm Beach,FL,33407,3224,FL,20,Alcee Hastings,H000324
35 Court Square,West Plains,MO,65775,3453,MO,8,Jason Smith,S001195
50 Washington Road,Woodbury,CT,8550,1012,CT,5,Elizabeth Esty,E000293
425 North Avenue East,Westfield,NJ,7090,1537,NJ,7,Leonard Lance,L000567
412 Malcolm Drive,Westminster,MD,21157,6174,MD,8,Chris Van Hollen,V000128
1125 Chapline Street,Wheeling,WV,26003,2976,WV,1,David McKinley,M001180
222 Mamaroneck Avenue,White Plains,NY,10605,1316,NY,17,Nita Lowey,L000480
108 Lacey Road,Lacey Township,NJ,8759,1331,NJ,3,Jon Runyan,R000594
4245 Kemp Boulevard,Wichita Falls,TX,76308,2829,TX,13,Mac Thornberry,T000238
155 North Market Street,Wichita,KS,67202,1818,KS,4,Mike Pompeo,P000602
1000 Commerce Park Drive,Williamsport,PA,17701,5475,PA,10,Tom Marino,M001179
400 North Main Street,Williamstown,KY,41097,1026,KY,4,Thomas Massie,M001184
320 4th Street Southwest,Willmar,MN,56201,3300,MN,7,Collin Peterson,P000258
6262 Route 83,Willowbrook,IL,60527,2987,IL,6,Peter Roskam,R000580
201 North Walnut Street,Wilmington,DE,19801,3998,DE,0,John Carney,C001083
201 North Front Street,Wilmington,NC,28401,5093,NC,3,Walter Jones,J000255
61 East Main Street,Wilmington,OH,45177,2330,OH,15,Steve Stivers,S001187
216 Nash Street Northwest,Wilson,NC,27893,3802,NC,1,George Butterfield,B001251
110 North Cameron Street,Winchester,VA,22601,4730,VA,10,Frank Wolf,W000672
700 Park Avenue,Winona Lake,IN,46590,1066,IN,3,Marlin Stutzman,S001188
300 West Plant Street,Winter Garden,FL,34787,3009,FL,10,Daniel Webster,W000806
4308 Ridgewood Center Drive,Woodbridge,VA,22192,5307,VA,11,Gerald Connolly,C001078
6043 Hudson Road,Woodbury,MN,55125,1004,MN,4,Betty McCollum,M001143
63 North Broad Street,Philadelphia,PA,8096,4602,PA,1,Robert Brady,B001227
712 Main Street,Woodland,CA,95695,3478,CA,3,John Garamendi,G000559
2728 Williams Avenue,Woodward,OK,73801,5853,OK,3,Frank Lucas,L000491
34 Mechanic Street,Lebanon,NH,1608,2424,NH,2,Ann Kuster,K000382
840 North Park Road,Wyomissing,PA,19610,1307,PA,6,Jim Gerlach,G000549
402 East Yakima Avenue,Yakima,WA,98901,5410,WA,4,Doc Hastings,H000329
2209 East Market Street,East York,PA,17402,2853,PA,4,Scott Perry,P000605
4904 George Washington Memorial Highway,Yorktown,VA,23692,2769,VA,1,Robert Wittman,W000804
241 West Federal Street,Youngstown,OH,44503,1207,OH,13,Tim Ryan,R000577
301 West Michigan Avenue,Ypsilanti,MI,48197,5450,MI,12,John Dingell,D000355
10952 Northwest Expressway,Yukon,OK,73099,8214,OK,3,Frank Lucas,L000491
1166 Military Road,Zanesville,OH,43701,1562,OH,12,Patrick Tiberi,T000462
